"FailureID","Loco","Date","Equipment","FailureDescription","AssignedLabel","Confidence","Reason","FailureSummary"
"4599089","31444","22/11/2024","Traction Motor G9P7","Speed sensor defect","REJECT","HIGH","No explicit mechanical traction-motor diagnosis; record describes an electrical, sensor, control, operational, or unconfirmed isolation event.","Speed sensor defect; (LP advised to check background message in DDS. As per LP, message found ASC2: 0053 Error Techogenerator-2. LP advised to isolated Traction Bogie-2 and take traction. LP reported that Traction Bogie-2 isolated by switch no. 154 and MCB 127.1/2, but same trouble occurred. Loco started with jerk and speed not exceed more than 01 kmph. Again LP advised to isolate Traction Bogie-1 and Traction Bogie-2 put normal, same done but not success. Wheel movement checked by LP and found "
"4591315","41733","18/11/2024","Traction Motor G9P7","DE Bearing Seize) (Reqd. to add in Bearing)","LEVEL_1","HIGH","Maintenance narrative explicitly identifies axle/bearing/labyrinth/pinion seizure, lock, or mechanical jamming.","DE Bearing Seize) (Reqd. to add in Bearing); TRAIN N/DTV I/C EX BSP. TAKEN OVER AT 23.20H (DT 17/11/24) AT JSG. AS PER TLC/BSP-09, LOCO 32930 TM-5 + CP-2 ISOLATED. LP INFORMED FROM MCL SIDING AT 13.40H THAT LOAD CLEARED FROM SIDING TO MCL LINE NO-2. AT THE TIME OF LOAD CLEARING, SMR/MCL TOLD OVER VHF THAT FRONT WHEEL NOT MOVE. ON CHECKING BY ALP, FOUND SOME TIMES WHEEL NO-11 & 12 (AXLE NO- 6) NOT MOVED IN FORWARD DIRECTION AND REVERSE DIRECTION NORMALLY MOVED. ADVISED E/EX + CLI/JSG TO PROCEED T"
"4590688","37373","18/11/2024","Traction Motor G9P7","Outer Labrynth Displaced/ Rubbing (Reqd. to add in Bearing)","LEVEL_1","HIGH","Maintenance narrative explicitly identifies axle/bearing/labyrinth/pinion seizure, lock, or mechanical jamming.","Outer Labrynth Displaced/ Rubbing (Reqd. to add in Bearing); Train No.12841, While approaching DIG (Duggirala) LP observed smoke & burning smell coming from under truck. LP check and found Axle-2 got locked. Fresh loco given. Observation/Investigation: TM2 was dismantled at EDE and the following points observed. Outer labyrinth came out and seating area of shaft is scored. Outer racer surface seating area with End Shield bore is not having any scoring marks.  DE bearing rollers found overheated "
"4587247","37508","17/11/2024","Traction Motor G9P7","TM bearing seized","LEVEL_1","HIGH","Maintenance narrative explicitly identifies axle/bearing/labyrinth/pinion seizure, lock, or mechanical jamming.","TM bearing seized; Attended in E1 Section jobcard 016 during loco 37508 visit for IC on Jan  5 2025  3:45PM. •TM4 DE side bearing seized. •Outer labyrinth found shifted from original position. •DE end frame, Outer labyrinth and Bearing cap DE dismantled. •Scoring on outer labyrinth seat. •All rollers found groove marks. •Bearing cage deformed plastically. •Inner race found deep groove mark. •Complete investigation report and traction motor detail is attached with this OPR.  TM bearing seized"
"4585322","33835","16/11/2024","Traction Motor G9P7","DE side deflector displaced","LEVEL_1","HIGH","Maintenance narrative explicitly identifies axle/bearing/labyrinth/pinion seizure, lock, or mechanical jamming.","DE side deflector displaced; Investigation- Joint checking report of CLI- A K Maity/SCLN and JE/G- Mahendra Kotangale Observation- As per LP reported burning smell/smoke coming from TM1 gear case side and gear case oil spread over. So checked gear case and TM1 and check temperature found normal. Open TM1 gear case oil (cardium compound). Found oil level normal and check smell found that there is burning smell coming from TM-1 gear case oil. Checked all TMs temperature normal. Suspected deflector"
"4583972","33324","15/11/2024","Traction Motor G9P7","Misc","REJECT","HIGH","No explicit mechanical traction-motor diagnosis; record describes an electrical, sensor, control, operational, or unconfirmed isolation event.","Misc; Ex RNQ/NBG, Train arrived at DDU K-Panel at 18:45 hrs with pre information of defect that Traction bogie-2 isolate since 10/11/2024. loco shutdown there by shuttling crew. Another crew take cto at 23:50 hrs in dead condition. Train ready at 24:00 hrs and as per Previous booking switch 154 on II position and bogie-2 isolate due to SS03- Earth fault in converter. Due to above defect load not pulled by loco so UP/Dy advise to detach loco and send to O/Shed. Attended in E1 Section jobcard 067 "
"4559381","32839","04/11/2024","Traction Motor G9P7","Temperature sensor defective","REJECT","HIGH","No explicit mechanical traction-motor diagnosis; record describes an electrical, sensor, control, operational, or unconfirmed isolation event.","Temperature sensor defective; 15.42 LP reported that suddenly loco working cab-2 horn not working as HT horn no sound & LT horn sound very poor.15.45 LP consult with SSE/SGUJ/SDED and done accordingly but trouble not rectify..15.50 LP demand relief engineLP demand relief engine. 16.00 Relief loco no-43068/MLDD/IB 23.12.24 allotted which was available at NJP. 6.07 Relief loco no-43068/MLDD departure NJP. 16.25 Relief loco no-43068/MLDD arrived ABFCRelief loco no-43068/MLDD arrived ABFC. 16.53 Rel"
"4555281","31287","01/11/2024","Traction Motor G9P7","Speed Sensor Defective (ARC/IGBT)","REJECT","HIGH","No explicit mechanical traction-motor diagnosis; record describes an electrical, sensor, control, operational, or unconfirmed isolation event.","Speed Sensor Defective (ARC/IGBT); 10.15 Hrs-Fir by LP. 09.12 Hrs-Train Dep BDPK. 09.25 Hrs-Train controlled at IB signal due to danger. 09.48 Hrs-Train started after signal given. 10.05 Hrs-Train stopped at TLHD home signal danger. 10.07 Hrs-Train started from home signal after given. 10.12 Hrs- Lp experience leading loco-31287 DJ open with massage main power off with massage SS-01 main power isolated with battery voltage show below 90 volt , Train stopped at Km no-490 . LP off/on CE then massa"
"4541444","33516","25/10/2024","Traction Motor G9P7","TM bearing seized","LEVEL_1","HIGH","Maintenance narrative explicitly identifies axle/bearing/labyrinth/pinion seizure, lock, or mechanical jamming.","TM bearing seized; As per TLC proceed to NRZB to attend loco no 33516(TKD) for TM-1 smoke emission, joint checked along with CLI /SDL Shri Suresh Chandra TM-1 gear case oil normal and burning smell coming from Tm-1 and checked wheel movement found wheel no 1 and 2 not moving both direction 2-time and again checked wheel movement found wheel movement freely so consulted SSE/ TKD shed actual cause will be found out after TM-1 gear case cover opening, so Loco marked TR.   TM bearing seized"
"4538631","37544","24/10/2024","Traction Motor G9P7","DE Bearing Seize) (Reqd. to add in Bearing)","LEVEL_1","HIGH","Maintenance narrative explicitly identifies axle/bearing/labyrinth/pinion seizure, lock, or mechanical jamming.","DE Bearing Seize) (Reqd. to add in Bearing); JOINT EXAMINATION DONE AT DLS/GY BY SSE/DLS/GY, ADME/DLS/GY, CLI/GY SUSPECTING TRACTION MOTOR DRIVE END SIDE BEARING SEIZED. SAME HAS BEEN INFORMED TO HOME SHED ELS/ED FOR TAKING FURTHER ACTIONS Cause of Failure:  1. Due to crack in end frame, rotation of outer racer in the end frame housing might have happened, Both the end frame inner bore & outer race                                       surface got scored heavily. Which in turn might have caused "
"4537272","33574","23/10/2024","Traction Motor G9P7","DE side deflector displaced","LEVEL_2","HIGH","Maintenance narrative identifies a serious mechanical traction-motor, rotor/stator, gearcase, wheel-heating, smoke, or vibration failure.","DE side deflector displaced; CREW SHORTAGE During shed investigation of loco, labyrinth of TM4 found out 5-6 mm from its original position and rotor movement found jammed due to which TM’s rotation movement stopped and due to frictional heat generation, smoke noticed. Loco 33574/VTA, WAG-9, IC 15-9-24, DOC 20-11-22, HRPT, Propulsion Medha,  TM-4 Mfg 06/2022, Make CLW, SN 16303 Axle box greasing and UST done on 15-9-24  Train FUT/NMG  LP stop train at BET (BARETH) main line at 12.45 & reported sm"
"4536532","32054","23/10/2024","Traction Motor G9P7","DE Bearing Seize) (Reqd. to add in Bearing)","LEVEL_1","HIGH","Maintenance narrative explicitly identifies axle/bearing/labyrinth/pinion seizure, lock, or mechanical jamming.","DE Bearing Seize) (Reqd. to add in Bearing);  Loco no 32054 working with train GHH/MDCC/DS was stopped  on 23/10/24 on line at km No. 716/26 between section SIMN-PNUN in DFCC Division of WDFC due to working LP observed smoke from undergear further checked & found heavy smoke was coming from TM-4 hence fire extinguishers used by LP after some time smoke got disappear,again tried for move to load but jerk observed due to axle locked, load detached and put back for SIMN from relief loco.CLI/PNUN ar"
"4522998","38588","17/10/2024","Traction Motor G9P7","DE side deflector displaced","LEVEL_1","HIGH","Maintenance narrative explicitly identifies axle/bearing/labyrinth/pinion seizure, lock, or mechanical jamming.","DE side deflector displaced; SMOKE FROM GC-6 Loco no 38588 was failed on17/10/24 in NGP Division of C Rly due to LP have taken charge at BPK( BHUGAON) 3rd line as stable condition& start after ready and stopped at KM 768/B/8A and working LP observed smoke emission from undergear. Further LP checked found smoke coming from TM-6 gear case but temp checked found normal after 03 minute smoke got disappeared hence ready from spot and arrived CHJC( Chitoda) 3rd line & loco detached and kept at BPK 3rd"
"4522226","32562","16/10/2024","Traction Motor G9P7","TM bearing seized","LEVEL_1","HIGH","Maintenance narrative explicitly identifies axle/bearing/labyrinth/pinion seizure, lock, or mechanical jamming.","TM bearing seized; WHEEL NO 3 AND 4  NOT MOVING , TM-2 PINION REMOVED Loco arrived at ELS/BL on dt.19/10/24 in working condition. Loco was checked and found TM-2 pinion cut out condition due to deflector plate came out ,TM-2 changed and defective TM dismantled in section and following observations noticed-   •No signs of oil ingress, oil condition found normal, no metallic part found in gear case. •The condition of inner Race is normal i.e. no signs of Rollers impact on inner race. •Crack on the"
"4509537","39113","10/10/2024","Traction Motor G9P7","Speed sensor defect","REJECT","HIGH","No explicit mechanical traction-motor diagnosis; record describes an electrical, sensor, control, operational, or unconfirmed isolation event.","Speed sensor defect; Train arrived MLDT PF No-04 at 06:55 hrs. Information received from NFR/Lobby at 07:09 hrs that loco- 39113/HWH of Train No- 03027(HWH- NJP TOD SPL) not allowed dye to having remarks of TM-01 isolated & SS-04 icon was in red colour. Hence, CLI was needed to allow this loco for this train. Previously TLC/HWH relayed the remarks i.e TM-1 isolated due to disturbance in signal of  TM-1 speed sensor. In BHEL propulsion Locomotive, if  any Traction Motor of Traction Converter- 1 g"
"4506123","31801","08/10/2024","Traction Motor G9P7","Speed sensor defect","REJECT","HIGH","No explicit mechanical traction-motor diagnosis; record describes an electrical, sensor, control, operational, or unconfirmed isolation event.","Speed sensor defect; Train arrived  DDU Dn/CYD at 16:45 Hrs Ex NCR W/O any pre info relayed by TLC/PRYJ or I/C LP. Dn/Dy asked to CC/DDU that Loco will work in L/Haul  or not. CC/DDU replied that Loco having defect TM-06 isolate (from 24/08/24).So loco will not work in L/Haul. TLC/DDU informed to PPIO/DDU. PPIO/DDU demanded the loco to N/Shed.   Speed sensor defect"
"4505728","31194","08/10/2024","Traction Motor G9P7","Earth Fault in Stator winding","REJECT","HIGH","No explicit mechanical traction-motor diagnosis; record describes an electrical, sensor, control, operational, or unconfirmed isolation event.","Earth Fault in Stator winding; Attended in E1 Section jobcard 324 during loco 32356 visit for IC on Oct 10 2024  7:04PM.   Earth Fault in Stator winding"
"4491185","38459","30/09/2024","Traction Motor G9P7","Phase to phase winding resistance diff.","REJECT","HIGH","No explicit mechanical traction-motor diagnosis; record describes an electrical, sensor, control, operational, or unconfirmed isolation event.","Phase to phase winding resistance diff.; <span title=""""SANDER: Leading cab-2 both side sanders was working and sand available. SECTION LAYOUT: -BUH-SNGP section having 6.0KM stretch of 1/150? with 2° curve at starting point. Train stop at KM-901/07A -01 which was situated in of 1/150? with 1° curve.  Loco trouble: DDS message noted by CLI/SDL Sri M.S.Marabi  DCU4 0100: LC1 Bogie 2 Isolated  DCU4 0014: Dist. In Power Module 25A1 FINDINGS: As per DDS message and DDS image provided by CLI, due to P"
"4485765","33734","27/09/2024","Traction Motor G9P7","Misc","LEVEL_1","HIGH","Maintenance narrative explicitly identifies axle/bearing/labyrinth/pinion seizure, lock, or mechanical jamming.","Misc; 07.45 Hrs- FIR by LP. 06.36 Hrs- TLHR dep. 06.41 Hrs- NTPC dep through. 07.36 Hrs- Train stopped at km no 490/35 in between TLHR-JNC due to automatically Tr.Bogie-1 isolated with massage F0201P1. So Loco could not houl the section in 3TM Single loco. So LP off/On the battery and wait for 5 mins, then loco ready in 5 TM. 07.50 Hrs- Train back towards TLHR up to Home Signal at km no 491/41 with same loco in 5 TM. 08.05 Hrs- Arr at Home Signal TLHD and waiting for Signal. 09.41 Hrs- Home sign"
"4479286","37044","24/09/2024","Traction Motor G9P7","TM bearing seized","LEVEL_1","HIGH","Maintenance narrative explicitly identifies axle/bearing/labyrinth/pinion seizure, lock, or mechanical jamming.","TM bearing seized; LP INFORMED TO TLC AT ATH THAT FAULT NO. KPRJ 41710  BON ARR 13.40 HRS DET DUE TO LOCO TROUBLE & POWER FAILED & DUE TO LOAD NOT WORKING THEN P/CHANGE  .27896 F0208 P2 TRACTION BOGIE /01 MOTOR 01, ISOLATE BOGIE /1 THEN ACKNOWLEDGE TB-1 ISOLATE AGAIN MCE OFF AND ON AGAIN TB-1 ISOLATE DUE TO ECXESS LOAD AND ANOTHER LOCO DEMANDED. AND INFORMED TO DY MOVEMENT THIS LOCO WORK IN LIGHT LOAD. Loco arrived at shed on 28/10/2024 and as per Report of  Axle-5 Lock at SWM station (Kota Divi"
"4464149","39026","17/09/2024","Traction Motor G9P7","DE Bearing Seize) (Reqd. to add in Bearing)","LEVEL_1","HIGH","Maintenance narrative explicitly identifies axle/bearing/labyrinth/pinion seizure, lock, or mechanical jamming.","DE Bearing Seize) (Reqd. to add in Bearing); 04:21Train passed PWL -  BT 05:32  - 06:00Train arrival /dep. NDLS 07''/20 '' late 08:13Train passed DHKR   11'' late ASM / DHKR reported that smoke in loco  08:20Train arrived at DPP 16:00'' late 08:25LPM reported that smoke from TM-3 and traction bogie -1 isolate ex DWNA. Advise to him that loco to be detach and shunt in HOT AXLE siding. 08:28Loco failed and required assisting loco  08:45Points man arrived on loco  09:17Loco no. 39026 detach from t."
"4463918","33734","17/09/2024","Traction Motor G9P7","DE Bearing Seize) (Reqd. to add in Bearing)","LEVEL_1","HIGH","Maintenance narrative explicitly identifies axle/bearing/labyrinth/pinion seizure, lock, or mechanical jamming.","DE Bearing Seize) (Reqd. to add in Bearing); Made over to SBP division on 19.09.24 at 09:25 hrs working MAAL BTAP, with 5TM working. Loco no.33734 was failed on17/09/24 on line at KKGM in WAT Division of ECO Rly after passing LKMR between LKMR- KKGM, LP observed smoke emission from under gear of loco 33734. LP section cleared to KKGM R-02 with cautious speed. At KKGM LP checked & suspected Axle No.2 (wheel No.3 & 4) locked. ELS VSKP Maintenance staff arrived at KKGM for attend to loco and remove"
"4463548","30642","17/09/2024","Traction Motor G9P7","DE Bearing Seize) (Reqd. to add in Bearing)","LEVEL_1","HIGH","Maintenance narrative explicitly identifies axle/bearing/labyrinth/pinion seizure, lock, or mechanical jamming.","DE Bearing Seize) (Reqd. to add in Bearing); 21.48 - FIRST INFORMATION BY FOOTPLATE CLI S.L. DANGI (BRC)  EX SAMLAYA(BRC-GDA)            THAT TRAIN NO 12951 LOCO NO 30642/BRC SMOKE NOTICED FROM TM-6 EX BH            (BHARIUCH) (BRC DIV).LOCO CHECKED AT BRC BY CLI S.L. DANGI & TRS BRC.FOOTPLATE            CLI ISOLATED TRACTION BOGIE-2 EX PIO (PILOL) (BRC-GDA) BY SWITH 154. 22.20 - AS PER FOOTPLATE CLI NO SMOKE NOTICED FROM TM-6 EX BRC TO GDA 22.22 - TRAIN 12951 T/O EX GDA LATE BY 02 As per TM obs"
"4463669","41332","16/09/2024","Traction Motor G9P7","Teeth Broken (Reqd. to add in 21 T Pinion)","REJECT","HIGH","No explicit mechanical traction-motor diagnosis; record describes an electrical, sensor, control, operational, or unconfirmed isolation event.","Teeth Broken (Reqd. to add in 21 T Pinion); Ex PG Train arrived MPO at 13:25 hrs. O/G LP  CTO at 13:30 hrs and found Traction Bogie-1 isolate since 08/09/2024 but no any pre information from I/C  Lp. LP put HBA & MCE Off/On but loco not normal,  allowed upto DDU. Pass KSTA at 16:40 hrs (H/D/C,  S/D/C). After passing KSTA loco wheel slip due to  drizzling rain & speed reduce to 7 kmph. Train arrived  PRY up loop at 17:14 hrs. On arrival ALP & Guard  checked the load and found load released condit"
"4460219","39114","15/09/2024","Traction Motor G9P7","TM bearing seized","LEVEL_1","HIGH","Maintenance narrative explicitly identifies axle/bearing/labyrinth/pinion seizure, lock, or mechanical jamming.","TM bearing seized; 08:11hrs Train through passed at NRO. 08:27 hrs Train arrived at MQS on PF no. 02 (main line). 08:35 hrs LP reported ex.MQS while moving  the train and found wheel no.2 axle no.1 lock. 08:40 hrs Loco declared failed and memo given to traffic controller for relief loco. 08:43 hrs Message given to SSE/Loco/Juc to send CLI at MQS. 08:50 hrs Relief loco(43474/BGKT) arranged ex. KXH. 08:53 hrs Message given to PPIO/LDH to send staff at MQS. 09:27 hrs Loco detached from load at MQS."
